queue,developer,project,submitted,mw,end_use,end_use_reading,asset_class,type_fuel,county,state,zone,poi_raw,poi_names,poi_kv,poi_shape,utility,ato,status,in_service
1737,Griffiss Utility Services Corporation,Griffiss Park Triangle Development,2025-06-03,66,M-CG,co-generation / manufacturing,industrial,Load Interconnection,Oneida,NY,E,Gulf to Rome 115kV line,Rome,115,line_end,NM-NG,,5,12-2027
1738,Donovan Drive Holdings LLC,"1 Gig Data Center East Fishkill, NY",2025-07-17,1000,DAT,data centre,datacentre,Load Interconnection,Dutchess,NY,H,East Fishkill to Wood Street 345 kV lines (38 and 39),East Fishkill | Wood Street,345 | 345,line_end,CONED,"NYSEG, Central Hudson",5,10-2028
1739,Brookhaven Science Associates on behalf of US Department of Energy,Brookhaven National Laboratory Electron Ion Collider Project,2025-07-30,120,,,,Load Interconnection,Suffolk,NY,K,LIPA existing 69 kV / 13.8 kV substation (PSEG Fifth Ave substation),,,,LIPA,,0,
1740,Turin Management LLC,Incremental Load Request for Remington Factory Redevelopment,2025-08-29,400,DAT,data centre,datacentre,Load Interconnection,Herkimer,NY,E,Line 1: 345KV from EDIC to Fraser. Line 2: 345 KV from Marcy to Coopers Corners,,,,NYPA,"National Grid, NYSEG, Transco, IMEU",5,08-2028
1741,North East Data LLC,North East Data LLC Data Center,2025-08-29,500,DAT,data centre,datacentre,Load Interconnection,Niagara,NY,A,230kV lines 77 and 78,,,,NM-NG,,4,05-2027
1742,"St. Lawrence Infrastructure, LLC",St. Lawrence Infrastructure 1,2025-09-02,860,DAT-AI,AI data centre,datacentre,Load Interconnection,St. Lawrence,NY,E,"NYPA HA-2, 345kV Transmission Line",,,,NYPA,,4,12-2029
1743,"St. Lawrence Infrastructure, LLC",St. Lawrence Infrastructure 2,2025-09-02,1935,DAT-AI,AI data centre,datacentre,Load Interconnection,St. Lawrence,NY,D,NYPA's 230kV Moses Massena 1 (MMS-1) and 230kV Moses Massena 2 (MMS-2),Moses Massena,230,line_end,NYPA,,4,07-2030
1744,"Brookhaven Logistics Center, LLC",Brookhaven Data Center,2025-09-05,300,,,,Load Interconnection,Suffolk,NY,K,"LIPA 138kV line circuit, between Caithness Long Island Energy Center Substation and Brookhaven Substation. Coordinates: 40°49'05.8""N 72°55'45.4""W.",,,,LIPA,,0,
1745,American Data Center Partners LLC,Pontoon Bridge Road Data Center,2025-10-09,250,DAT,data centre,datacentre,Load Interconnection,St Lawrence,NY,E,Haverstock-Adirondack 345kV transmission lines,Haverstock | Adirondack transmission,345 | 345,line_end,NYPA,,4,12-2027
1746,Onondaga County Department of Water Environment Protection,OOWWTP Expansion Program,2025-10-15,50,O,other,other,Load Interconnection,Onondaga,NY,C,National Grid's 115kV lines: Clay-Teall LN#11 and Clay-Woodard LN#17,Teall LN | Clay | Woodard LN,115 | 115 | 115,listed,National Grid,NYPA,4,02-2029
1747,GLOBE DH LLC,Globe Digital Holdings - 1,2025-10-17,200,DAT-AI,AI data centre,datacentre,Load Interconnection,Niagara,NY,A,Beck Packard 76 230kV,Beck Packard,230,line_end,National Grid,,4,06-2027
1748,GLOBE DH LLC,GLOBE DH 2,2025-10-17,200,DAT-AI,AI data centre,datacentre,Load Interconnection,NIAGARA FALLS,NY,A,Beck Packard 76 230kV,Beck Packard,230,line_end,National Grid,,4,06-2027
1749,GLOBE DH LLC,Globe DH 3,2025-10-17,200,DAT-AI,AI data centre,datacentre,Load Interconnection,niagara falls,NY,A,Niagara Packard 77 230kV,Niagara Packard,230,line_end,National Grid,NYPA,4,10-2026
1750,Advance Albany County Alliance,Al Tech Steel Site,2025-10-21,60,RD,research and development,other,Load Interconnection,Albany,NY,F,Maplewood Menands 18,Maplewood Menands,,line_end,NM-NG,,4,06-2027
1751,North Country Data Center LLC,Massena Development LLC Power Allocation,2025-10-21,200,DAT,data centre,datacentre,Load Interconnection,St; Lawrence,NY,D,NYPA - HW1 and HW2 (345kV) Lines - at Haverstock Substation,,,,NYPA,,4,07-2027
1752,The Agency,Broome County Tech Park,2025-10-30,250,RD,research and development,other,Load Interconnection,Broome,NY,C,345 kV POI via a loop on the existing Oakdale-Fraser Line 32. The interconnection substation will have a ring bus configuration.,,,,NYSEG,"NGRID, NYPA",4,12-2029
