meeting,page,need_number,needs_on_slide,substations,process_stage,driver,county,requesting_entity,mw,mw_basis,mw_all_values,in_service,is_data_center,text
20250204,6,DOM-2024-0086,DOM-2024-0086,,Solutions Meeting,,,,,,,,,"TEAC – Dominion Supplemental 2025 Dominion Transmission Zone: Supplemental Replace Landstown TX#1 - DEVNeed Number: DOM-2024-0086 Process Stage: Solutions Meeting 02/04/2025 Proposed Solution: Replace Landstown TX#1 with a new three-phase, 230/115/13.2 kV, 224 MVA unit. Include other ancillary equipment (high side breaker, arresters, switches, relays, etc.) as needed. Estimated Project Cost: $5.1 "
20250204,7,DOM-2024-0087,DOM-2024-0087,,Solution Meeting,,,,,,,,,"TEAC – Dominion Supplemental 2025 Dominion Transmission Zone: Supplemental Equipment Material Condition, Performance and Risk Need Number: DOM-2024-0087 Process Stage: Solution Meeting 02/04/2025 Previously Presented: Need Meeting 12/03/2024 Project Driver: Equipment Material Condition, Performance and Risk Specific Assumption References: See details on Equipment Material Condition, Performance an"
20250204,8,DOM-2024-0087,DOM-2024-0087,,Solutions Meeting,,,,,,,,,"TEAC – Dominion Supplemental 2025 Dominion Transmission Zone: Supplemental Replace Landstown TX#2 - DEVNeed Number: DOM-2024-0087 Process Stage: Solutions Meeting 02/04/2025 Proposed Solution: Replace Landstown TX#2 with a new three-phase, 230/115/13.2 kV, 224 MVA unit. Include other ancillary equipment (high side breaker, arresters, switches, relays, etc.) as needed. Estimated Project Cost: $4.76"
20250204,9,DOM-2022-0034,DOM-2022-0034,,Solutions Meeting,Customer Service,,,,excluded_unanchored_mw,,06/01/2024,yes,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2022-0034 (Update) Process Stage: Solutions Meeting 02/04/2025 Previously Presented: Solution Meeting 09/06/2022 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document 
20250204,10,DOM-2022-0034,DOM-2022-0034,Mountain Run,Solutions Meeting,,,,,,,,,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Mountain Run 230kV Delivery - RECNeed Number: DOM-2022-0034 (Update) Process Stage: Solutions Meeting 02/04/2025 Proposed Solution: 1. Build a new switching station Kyser next to the existing Mountain Run substation. Construct Kyser to accommodate a 230-kV breaker and a half configuration with 2 rows initially install
20250204,11,DOM-2024-0085,DOM-2024-0085,,Solution Meeting,Customer Service,Culpeper,DEV,,excluded_unanchored_mw,,07/01/2028,yes,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0085 Process Stage: Solution Meeting 02/04/2025 Previously Presented: Need Meeting 11/06/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250204,12,DOM-2024-0085,DOM-2024-0085,Cirrus,Solution Meeting,,,,,,,,,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Palomino 230kV Delivery - DEVNeed Number: DOM-2024-0085 Process Stage: Solution Meeting 02/04/2025 Proposed Solution: Connect the new substation Palomino by extending a new double circuit 230kV feed from future Cirrus Substation. Lines to terminate in a 230kV six-breaker ring arrangement. Estimated Project Cost: $38.6
20250204,13,DOM-2024-0082,DOM-2024-0082,,Solution Meeting,Customer Service,Culpeper,DEV,,excluded_unanchored_mw,,10/15/2027,yes,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0082 Process Stage: Solution Meeting 02/04/2025 Previously Presented: Need Meeting 11/06/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250204,14,DOM-2024-0082,DOM-2024-0082,Palomino,Solutions Meeting,,,,,,,,,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Chandler 230kV Delivery - DEVNeed Number: DOM-2024-0082 Process Stage: Solutions Meeting 02/04/2025 Proposed Solution: Connect the new substation by extending a new double circuit 230kV feed from future Palomino Substation. Lines to terminate in a 230kV six-breaker ring arrangement. Estimated Project Cost: $20.8M • Su
20250204,15,DOM-2024-0083,DOM-2024-0083,,Solution Meeting,Customer Service,Culpeper,DEV,,excluded_unanchored_mw,,10/15/2027,yes,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0083 Process Stage: Solution Meeting 02/04/2025 Previously Presented: Need Meeting 11/06/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
