region,osm_type,osm_id,name,operator,ref,building,telecom,addr_street,addr_city,addr_country,levels,website,lon,lat
WORLD,node,599587508,Cellnex,,,,data_center,,,,,,5.896548,52.168085
WORLD,node,688791288,Telstra,Telstra,,,data_center,,,,,,115.801413,-32.06536
WORLD,node,717740190,Equinix AM7,Equinix,AM7,,data_center,Kuiperbergweg,Amsterdam,,,https://www.equinix.nl/data-centers/europe-colocation/netherlands-colocation/amsterdam-data-centers/am7,4.937939,52.303059
WORLD,node,751881301,CoreSite DC1,CoreSite,,,data_center,K Street Northwest,,,,https://www.coresite.com/data-center/dc1-washington-d-c,-77.029149,38.902888
WORLD,node,1530992851,,ATW,Dataland II.,,data_center,Victor Hugo utca,Budapest,,,,19.055096,47.517995
WORLD,node,1668495487,スーパーコンピュータ「富岳」,,,,data_center,,,,,,135.220403,34.653435
WORLD,node,1690221178,BT Games,Apple Inc.,,,data_center,,,,,,28.240977,-26.182545
WORLD,node,1825748032,"Дата-центр ""Вконтакте""",,,,data_center,,,,,,30.57781,59.911792
WORLD,node,1825907839,Southwest Cyberport,,,,data_center,Indian School Road Northeast,Albuquerque,,,https://www.swcp.com/,-106.589349,35.103293
WORLD,node,2042844290,ForHLR II,Steinbuch Centre for Computing,,,data_center,,,,,,8.433431,49.096037
WORLD,node,2117775176,,,,,data_center,,,,,,34.858558,32.092984
WORLD,node,2161096396,Association ReptiGo,,RG2,,data_center,Rue de Franchepré,,,,https://reptigo.fr,6.011147,49.223391
WORLD,node,2473922003,CGCO,UFJF,,,data_center,,,,,,-43.371444,-21.776294
WORLD,node,2556825308,SFR Netcenter Courbevoie,SFR,,,data_center,Boulevard de Verdun,Courbevoie,,,,2.257787,48.903752
WORLD,node,2607827436,SDSU Computer Room,,,,data_center,,,,,,-117.070888,32.775025
WORLD,node,2625645063,WorldStream,,,,data_center,Industriestraat,Naaldwijk,,,https://www.worldstream.nl,4.210811,52.001217
WORLD,node,2639510695,Selectel Tsvetochnaya 1,Selectel,Tsvetochnaya 1,,data_center,Цветочная улица,,,,,30.329422,59.886598
WORLD,node,2719885481,LeaseWeb AMS-01,LeaseWeb,AMS-01,,data_center,J.W. Lucasweg,Haarlem,,,,4.664735,52.391724
WORLD,node,2727100158,Eurofiber data center Arnhem 1,Eurofiber Cloud Infra,,,data_center,Tivolilaan,Arnhem,,,https://www.eurofiber.com/en-nl/data-centers-netherlands/data-center-arnhem-1,5.934036,51.987004
WORLD,node,2730020684,Interconnect Eindhoven,,,,data_center,Park Forum,Eindhoven,,,https://interconnect.nl/over-ons/onze-datacenters/,5.387453,51.441656
WORLD,node,2733736931,Equinix TR1,Equinix,TR1,,data_center,Front Street West,Toronto,,,https://www.equinix.com/data-centers/americas-colocation/canada-colocation/toronto-data-centers/tr1,-79.384389,43.644529
WORLD,node,2733775996,Eurofiber Data Center Amsterdam,Eurofiber,,,data_center,Parellaan,Hoofddorp,,,https://www.eurofibercloudinfra.com/over-ons/datacenters-nederland/datacenter-amsterdam,4.687072,52.290378
WORLD,node,2738247230,Databarn Amsterdam,Databarn Amsterdam B.V.,,,data_center,Zekeringstraat,Amsterdam,,,https://www.databarn.nl/,4.851146,52.396422
WORLD,node,2738247376,NorthC Datacenters Amsterdam,NorthC,,,data_center,Kabelweg,Amsterdam,,,https://www.northcdatacenters.com/en/northc-datacenters/amsterdam/,4.849431,52.393411
WORLD,node,2745065082,Digital Realty AMS3,Digital Realty,AMS3,,data_center,Cessnalaan,Schiphol-Rijk,,,https://www.digitalrealty.com/data-centers/emea/amsterdam/ams3,4.770914,52.284149
WORLD,node,2745065224,Digital Realty AMS5,Digital Realty,AMS5,,data_center,Tupolevlaan,Schiphol-Rijk,,,https://www.digitalrealty.com/data-centers/emea/amsterdam/ams5,4.754278,52.280066
WORLD,node,2745065709,EdgeConneX AMS01,EdgeConneX,AMS01,,data_center,Koolhovenlaan,Schiphol-Rijk,,,,4.766111,52.284056
WORLD,node,2745066611,EdgeConneX AMS03,EdgeConneX,AMS03,,data_center,Koolhovenlaan,Schiphol-Rijk,,,,4.76686,52.283679
WORLD,node,2745067310,Digital Realty AMS6,Digital Realty,AMS6,,data_center,Koolhovenlaan,Schiphol-Rijk,,,https://www.digitalrealty.com/data-centers/emea/amsterdam/ams6,4.765982,52.285322
WORLD,node,2745067837,EdgeConneX AMS04,EdgeConneX,AMS04,,data_center,Cessnalaan,Schiphol-Rijk,,,,4.767777,52.281587
WORLD,node,2745067999,Digital Realty AMS11,Digital Realty,AMS11,,data_center,Koolhovenlaan,Schiphol-Rijk,,,,4.765117,52.284487
WORLD,node,2745068942,EdgeConneX AMS02,EdgeConneX,AMS02,,data_center,Cessnalaan,Schiphol-Rijk,,,,4.767631,52.282793
WORLD,node,2745069131,EdgeConneX AMS05,EdgeConneX,AMS05,,data_center,Koolhovenlaan,Schiphol-Rijk,,,,4.767234,52.284321
WORLD,node,2749411762,Equinix Enschede,Equinix,EN1,,data_center,Auke Vleerstraat,Enschede,,,https://www.equinix.com/data-centers/europe-colocation/netherlands-colocation/enschede-data-centers/en1,6.849556,52.236986
WORLD,node,2761385262,BIT-1 Datacenter,,,,data_center,Kelvinstraat,Ede,,,,5.624974,52.030709
WORLD,node,2765259404,NorthC Datacenter Aalsmeer,NorthC,,,data_center,Lakenblekerstraat,Aalsmeer,,,https://www.northcdatacenters.com/northc-datacenters/aalsmeer/,4.773358,52.259796
WORLD,node,2775436927,Datacenter Groningen,,,,data_center,Beneluxweg,Zuidbroek,,,https://www.datacentergroningen.nl/,6.864589,53.166849
WORLD,node,2808423607,Global Switch Amsterdam,Global Switch,,,data_center,Johan Huizingalaan,Amsterdam,,,https://www.globalswitch.nl/locaties/amsterdam/,4.828865,52.34401
WORLD,node,2827483282,Colt Amsterdam Van der Madeweg,,,,data_center,Van der Madeweg,Amsterdam-Duivendrecht,,,,4.925951,52.328144
WORLD,node,2837886894,Solcon Droten,,,,data_center,Het Spaarne,Dronten,,,,5.702279,52.539205
WORLD,node,2837888139,Kolo NL1 Dronten,Kolo,NL1,,data_center,De Linge,Dronten,,,https://kolodc.com/data-centers/colocation-in-the-netherlands/dronten-data-center,5.705073,52.543723
WORLD,node,2840442643,Digital Realty,Digital Realty,,,data_center,Johann Siegerstraat,Amsterdam,,,,4.918864,52.333732
WORLD,node,2853597655,Digital Realty AMS17,Digital Realty,AMS17,,data_center,Science Park,Amsterdam,,,https://www.digitalrealty.com/data-centers/emea/amsterdam/ams17,4.95079,52.357114
WORLD,node,2853597662,Digital Realty AMS9,Digital Realty,AMS9,,data_center,Science Park,Amsterdam,,,https://www.digitalrealty.com/data-centers/emea/amsterdam/ams9,4.952727,52.356106
WORLD,node,2862652419,KPN Amsterdam,KPN,,,data_center,Paalbergweg,Amsterdam,,,,4.954959,52.300291
WORLD,node,2862656047,NorthC Amsterdam 2,NorthC,AMS-02,,data_center,Stekkenbergweg,Amsterdam,,,https://www.northcdatacenters.com/en/northc-datacenters/amsterdam-2/,4.948701,52.296314
WORLD,node,2862973887,Verizon 2,,,,data_center,Kollenbergweg,Amsterdam,,,,4.93549,52.30498
WORLD,node,2862978534,Datacenter.com AMS1,,AMS1,,data_center,Keienbergweg,Amsterdam,,,https://datacenter.com/datacenter/locations/data-center-amsterdam-ams1/,4.936012,52.309522
WORLD,node,2862978553,Equinix AM11,Equinix,AM11,,data_center,Lemelerbergweg,Amsterdam,,,https://www.equinix.nl/data-centers/europe-colocation/netherlands-colocation/amsterdam-data-centers/am11,4.939308,52.304026
WORLD,node,2862979348,Equinix AM2,Equinix,AM2,,data_center,Laarderhoogtweg,Amsterdam,,,,4.941981,52.300629
WORLD,node,2868452750,Laboratório de Programação,,,,data_center,,,,,,-38.973406,-12.199538
WORLD,node,2876408856,KPN Telefoon Centrale,KPN,02584,,data_center,Bagijnenstraat,Alkmaar,,,,4.742799,52.631967
WORLD,node,2899028980,,,,,data_center,,,,,,32.524971,37.962845
WORLD,node,2901990872,Дата-центр Миран-1,,,,data_center,,,,,https://miran.ru/,30.339517,59.965179
WORLD,node,2901990873,Дата-центр Миран-2,,,,data_center,,,,,https://miran.ru/,30.339043,59.96381
WORLD,node,2906464440,Systemec Venlo DC19,Systemec,DC19,,data_center,Marinus Dammeweg,Venlo,,,https://www.systemec.nl/nl/home/voorzieningen-dc-19,6.158863,51.378397
WORLD,node,2906464473,Systemec Venlo DC25,Systemec,DC25,,data_center,Marinus Dammeweg,Venlo,,,https://www.systemec.nl/nl/home/voorzieningen-dc-25,6.159161,51.378217
WORLD,node,2912338694,GWDG - Außenstelle,,,,data_center,Margarethe-von-Wrangell-Weg,Göttingen,DE,,,9.943988,51.547941
WORLD,node,2978103914,PLAY Centrum Danych DC1,3S Data Center S.A.,PLAY DC1,,data_center,Gospodarcza,Katowice,,,,19.063166,50.245476
WORLD,node,3014822814,Datacenter Gemert,,,,data_center,Hemelsbleekweg,De Mortel,,,https://www.alticom.nl/locaties/datacenter-gemert/,5.704129,51.526337
