region,osm_type,osm_id,name,operator,ref,building,telecom,addr_street,addr_city,addr_country,levels,website,lon,lat
US-VA,way,1161730862,,,,,data_center,,,,,,-77.497841,38.957253
US-VA,way,1173770902,Google: Arcola 2,Google,ARA2,commercial,data_center,,,,,,-77.527451,38.941812
US-VA,way,1177893426,Amazon IAD603,Amazon Web Services,IAD603,yes,data_center,Platform Plaza,,,,,-77.419369,38.981547
US-VA,way,1181391920,Amazon IAD86,Amazon Web Services,IAD86,yes,data_center,,,,,,-77.495674,38.917256
US-VA,way,1181391921,Amazon IAD130,Amazon Web Services,IAD130,data_center,data_center,,,,,,-77.519302,38.760361
US-VA,way,1181391922,Amazon IAD131,Amazon Web Services,IAD131,data_center,data_center,,,,,,-77.518221,38.761105
US-VA,way,1188680247,QTS Ashburn-Shellhorn DC2,Quality Technology Services,,data_center,data_center,,,,,,-77.474326,38.99871
US-VA,way,1188680253,QTS Ashburn Lockridge,Quality Technology Services,,data_center,data_center,Quality Tech Lane,Sterling,,,,-77.455264,38.995307
US-VA,way,1188680254,QTS Ashburn Lockridge,Quality Technology Services,,data_center,data_center,Quality Tech Lane,Sterling,,,,-77.456819,38.995181
US-VA,way,1188680255,Amazon IAD192,Amazon Web Services,IAD192,data_center,data_center,Pacific Boulevard,Sterling,,,,-77.434802,38.98956
US-VA,way,1188691867,NTT Ashburn VA6 Data Center,NTT,VA6,data_center,data_center,Gigabit Plaza,Ashburn,,,,-77.473338,39.017043
US-VA,way,1188691868,NTT Ashburn VA9 Data Center,NTT,VA9,data_center,data_center,Gigabit Plaza,Ashburn,,,,-77.475509,39.020189
US-VA,way,1188691869,DataBank Ashburn IAD3,DataBank,IAD3,data_center,data_center,Red Rum Drive,Ashburn,,,,-77.481819,39.017904
US-VA,way,1188715508,CyrusOne NVA14,PowerHouse,ABX-1,data_center,data_center,Beaumeade Circle,Ashburn,,,https://www.powerhousedata.com/data-center/powerhouse-abx-1,-77.450457,39.019599
US-VA,way,1188715510,Cologix ASH1,Cologix,,data_center,data_center,Beaumeade Circle,Ashburn,,,https://cologix.com/data-centers/ashburn/ash1/,-77.459516,39.017926
US-VA,way,1221862807,AWS IAD106,Amazon Web Services,IAD106,yes,data_center,,,,,,-77.518524,38.746979
US-VA,way,1222134968,Amazon Web Services,Amazon Web Services,IAD609,yes,data_center,,,,,,-77.523594,38.949149
