asset_id,kind,pwsid,pws_name,primacy_agency,population_served,service_connections,boundary_method,verification_status,data_source,echo_url,overlapping_systems
site-657dc87797,site,TN0000246,FRANKLIN WATER DEPT,TN,77222,27001,System Sourced,,https://tdec-division-of-water-tdec.hub.arcgis.com/datasets/cc62b90b5775475c94f503cf225c5fd7_0,https://echo.epa.gov/detailed-facility-report?fid=TN0000246&sys=SDWIS,1
site-7292ba833f,site,NC0160010,CHARLOTTE WATER,NC,1163701,323527,System Sourced,Verified ,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,https://echo.epa.gov/detailed-facility-report?fid=NC0160010&sys=SDWIS,1
site-d46d91cfe9,site,MD0020017,GLEN BURNIE-BROADNECK,MD,290606,83272,System Sourced,,Personal Communication,https://echo.epa.gov/detailed-facility-report?fid=MD0020017&sys=SDWIS,1
site-21c55400d3,site,PA3480046,CITY OF BETHLEHEM,PA,117259,36709,System Sourced,,https://newdata-padep-1.opendata.arcgis.com/maps/fdf53cdeb2ec42b8a9422569f2e9531b/about,https://echo.epa.gov/detailed-facility-report?fid=PA3480046&sys=SDWIS,1
site-7b9cd9feaf,site,MA2170000,MARLBOROUGH DPW  WATER DIV. (MWRA),MA,41799,10920,System Sourced,Verified,https://www.mass.gov/info-details/massgis-data-massdep-estimated-public-drinking-water-system-service-area-boundaries,https://echo.epa.gov/detailed-facility-report?fid=MA2170000&sys=SDWIS,1
site-7c24f0d347,site,NC0160010,CHARLOTTE WATER,NC,1163701,323527,System Sourced,Verified ,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,https://echo.epa.gov/detailed-facility-report?fid=NC0160010&sys=SDWIS,1
site-14e93ed9f4,site,TX0570004,DALLAS WATER UTILITY,TX,1356479,958265,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0570004&sys=SDWIS,1
site-bceee0cd6e,site,TX2200012,CITY OF FORT WORTH,TX,955900,653251,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX2200012&sys=SDWIS,1
site-795c6656a7,site,NY5903482,WESTCHESTER COUNTY WD #3,NY,6000,75,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY5903482&sys=SDWIS,1
site-0087dc3f09,site,FL2161328,JEA MAJOR GRID,FL,826664,428439,System Sourced,,https://trinnex.cloud/leadcast/publicMap?tenantName=JEA,https://echo.epa.gov/detailed-facility-report?fid=FL2161328&sys=SDWIS,1
